,uri,rank,date
78,6U4xHfDbZLWytoAlQ1SWPn,23.0,1960-03-26 00:00:00
79,4cI9dOfbGJ9FV0CVJaNfsJ,38.0,1960-02-27 00:00:00
80,05oMNN5Rbv6rVqyFFG9uTl,34.0,1960-03-05 00:00:00
81,6uQlc0WC4jGIJhIKCIfHJo,26.0,1960-03-19 00:00:00
82,1Gv8dvKmkHVaB1edYvW0Fr,1.0,1960-04-16 00:00:00
83,6OPdWdyWMq7gk5a5byZiSf,21.0,1960-04-23 00:00:00
84,6zKwKoLZc8O7dc3oKSJRVI,9.0,1960-04-02 00:00:00
85,4uGRy8am7zTLM0Dh2tNuMH,16.0,1960-03-26 00:00:00
86,3rjwKwMDoZK5mXFTZf9QGn,30.0,1960-03-19 00:00:00
87,6mYAMYVpmNil4iCEquvBxA,29.0,1960-04-02 00:00:00
88,3evKKHWfJEODXUcntWlejD,15.0,1960-04-02 00:00:00
89,6hPlKtsqfFMKhYEzHpgrgb,7.0,1960-04-16 00:00:00
90,1wuRCnD6sLvs9YuIOlqqOj,3.0,1960-04-30 00:00:00
91,3cwYFjQ1A0k3rxwc6ylg6I,3.0,1960-05-07 00:00:00
92,1GX1SoLS7s676ilwcen13Y,35.0,1960-03-19 00:00:00
93,6bjT2fsUi1pOc9gk1mB9w7,30.0,1960-03-26 00:00:00
94,4S9JKFJ0tMeLsAexD6rMfy,7.0,1960-04-30 00:00:00
95,7F3R0rKXq5eYgPug8vqOdu,1.0,1960-04-23 00:00:00
96,2st1rBXjZzIw8aFttiokur,8.0,1960-04-16 00:00:00
97,7v0bxGfOqJZICMMuS4vWKn,6.0,1960-04-09 00:00:00
98,1wNlPezvH9MiGYtuJHG4Pj,22.0,1960-04-09 00:00:00
99,6CBnST409s4NzGeZvpUF0k,16.0,1960-04-09 00:00:00
100,5TDlZpJPbEJ4UwhKcWpnkv,7.0,1960-05-21 00:00:00
101,1GDJdnuh5EXMQXVHlRep7R,27.0,1960-04-23 00:00:00
102,2tUkg75XKOLolMTSCTiJdc,20.0,1960-04-23 00:00:00
103,1ySkB2a4SFjhWwIpkdJBzw,36.0,1960-05-14 00:00:00
104,3CRleouvOwO8chxzO8EQgq,13.0,1960-05-14 00:00:00
105,2ZkEvZ5Yjw86dyAxqYIVGJ,19.0,1960-04-30 00:00:00
106,4sthCEbCCGaYbEA8V823XB,6.0,1960-05-07 00:00:00
107,0AQquaENerGps8BQmbPw14,24.0,1960-04-23 00:00:00
108,3up3WzVxOQP2gMAFAMfl3A,1.0,1960-05-21 00:00:00
109,52gdxdolPNwBJZLAZDG1Md,4.0,1960-05-21 00:00:00
110,51PgB7XHoLwTRA4hUaqrqU,8.0,1960-05-14 00:00:00
111,6LjCUIFV6pHuXNTBYroZHN,20.0,1960-05-28 00:00:00
112,4Wa9NaUF5fWxoyP4M3MLqT,25.0,1960-05-07 00:00:00
113,7K4jIdktbuOlTPEdVCVv4J,19.0,1960-05-07 00:00:00
114,3y5S5McahiMrgmvAgJqDbJ,7.0,1960-06-18 00:00:00
115,0tKMVu6OYlFhe2SkNJTk9N,16.0,1960-05-14 00:00:00
116,35JY4nPc4o9FjtM8gNP0LP,14.0,1960-05-14 00:00:00
117,16eM2ThVia2tjVsG0oKItV,11.0,1960-06-04 00:00:00
118,6CbhRV84tLg93jOHc1P1ny,24.0,1960-05-07 00:00:00
119,0KNFlEbJTOSdxm6V4IkcPh,21.0,1960-05-28 00:00:00
120,4L2HVN4gc7fgkbvkSHwgVZ,1.0,1960-06-25 00:00:00
121,3n9CdsRIgLmgBpZ3YeiCd7,22.0,1960-05-21 00:00:00
122,6ywrXkjIuQ2aonFjmoyHOy,5.0,1960-06-18 00:00:00
123,4OgCE8bmGO7eatG3OuBEju,4.0,1960-06-11 00:00:00
124,33igcthkkskYSoeL6YmVs6,3.0,1960-06-11 00:00:00
125,51jyAgrsTNvOyZPW949qZR,3.0,1960-06-25 00:00:00
